units_used,peak_hours_usage,appliance_count,lighting_type,avg_lighting_hours,tariff_type,season,previous_bill,efficiency_score,predicted_bill
589,120,12,LED,6,Commercial,Monsoon,4833,4,4208
409,169,3,CFL,5,Commercial,Summer,5269,10,2841
451,175,6,CFL,10,Commercial,Winter,1081,8,3274
372,20,3,CFL,2,Domestic,Monsoon,2787,4,2181
356,168,6,LED,4,Domestic,Winter,4702,8,2762
136,55,11,LED,8,Commercial,Winter,2070,6,1598
453,161,6,LED,5,Domestic,Summer,1829,6,3240
225,145,8,Bulb,5,Commercial,Summer,5158,7,2144
323,152,4,LED,4,Commercial,Monsoon,5664,6,2409
248,32,13,Bulb,3,Domestic,Winter,2567,8,2235
588,159,8,LED,7,Commercial,Monsoon,5989,4,4063
568,39,10,CFL,2,Commercial,Summer,1685,8,3713
581,176,3,CFL,5,Commercial,Monsoon,4012,6,3752
538,10,6,Bulb,2,Commercial,Winter,723,10,3204
339,50,15,CFL,9,Domestic,Winter,552,1,2893
372,122,14,CFL,6,Commercial,Summer,5541,2,3225
116,42,9,Bulb,8,Domestic,Monsoon,4541,8,1322
317,12,9,LED,2,Commercial,Monsoon,1193,3,2266
589,199,15,Bulb,6,Commercial,Monsoon,4139,10,4654
363,90,13,CFL,8,Domestic,Summer,505,1,3012
178,194,13,LED,5,Domestic,Summer,2074,2,2384
162,124,6,Bulb,5,Domestic,Summer,4860,8,1621
73,35,9,CFL,10,Commercial,Winter,1788,10,1078
533,184,8,LED,3,Commercial,Monsoon,2332,3,3858
415,93,12,Bulb,7,Domestic,Monsoon,3111,1,3224
271,156,2,CFL,9,Commercial,Monsoon,1222,5,2022
433,69,9,CFL,4,Commercial,Summer,1118,5,3044
106,194,15,Bulb,8,Commercial,Monsoon,2914,8,2144
533,91,15,Bulb,6,Commercial,Summer,1175,10,4024
412,63,14,CFL,10,Domestic,Monsoon,1811,1,3246
90,18,14,CFL,8,Commercial,Summer,2546,7,1441
206,104,14,Bulb,9,Commercial,Summer,4821,2,2311
156,107,14,CFL,5,Commercial,Summer,4094,2,2062
119,23,10,LED,5,Domestic,Summer,2239,3,1344
539,24,7,Bulb,5,Domestic,Winter,4887,4,3319
226,74,5,Bulb,6,Domestic,Monsoon,2623,8,1728
547,139,13,LED,6,Commercial,Winter,2494,4,4116
521,38,12,CFL,6,Domestic,Monsoon,1109,6,3598
319,24,9,CFL,2,Commercial,Monsoon,680,1,2314
416,145,6,LED,5,Domestic,Summer,2556,5,2999
347,31,5,LED,10,Commercial,Monsoon,963,4,2218
345,126,2,Bulb,3,Domestic,Summer,3728,3,2310
550,69,3,Bulb,7,Domestic,Summer,1001,8,3254
111,15,11,LED,3,Domestic,Summer,4941,8,1343
414,16,12,Bulb,6,Domestic,Winter,4888,4,2976
218,157,7,LED,8,Domestic,Summer,2793,2,2080
401,54,6,Bulb,2,Commercial,Summer,2766,1,2635
