Appliance_ID,Category,Sub_Type,Brand,Star_Rating,Price_INR,Annual_kWh,Use_Case,Investment_Type
IND-2026-001,Washing Machine,Semi-Automatic,Atomberg,3,14280.0,63.0,Value for Money,Standard
IND-2026-002,Air Conditioner,Window,Preethi,3,32600.0,144.0,Value for Money,Standard
IND-2026-003,Water Purifier,UV + UF,Daikin,5,11620.0,13.5,Energy Saver,One-time Premium
IND-2026-004,Air Conditioner,Split Inverter,Preethi,4,51720.0,144.0,Value for Money,One-time Premium
IND-2026-005,Ceiling Fan,BLDC Motor,Havells,3,3670.0,15.7,Value for Money,One-time Premium
IND-2026-006,Microwave Oven,Convection,Havells,3,16320.0,72.0,Value for Money,Standard
IND-2026-007,Ceiling Fan,BLDC Motor,Havells,5,5090.0,5.2,Energy Saver,One-time Premium
IND-2026-008,Water Purifier,Gravity/Non-Electric,Daikin,5,3410.0,4.5,Energy Saver,One-time Premium
IND-2026-009,Microwave Oven,Convection,LG,3,16830.0,72.0,Value for Money,Standard
IND-2026-010,Air Conditioner,Window,Pureit,3,31590.0,144.0,Value for Money,Standard
IND-2026-011,Water Purifier,RO + UV + MTDS,Bosch,3,15660.0,67.5,Value for Money,Standard
IND-2026-012,Microwave Oven,Convection,Pureit,4,17260.0,48.0,Value for Money,Standard
IND-2026-013,LED Light,Smart LED,Samsung,3,650.0,3.6,Value for Money,Standard
IND-2026-014,Microwave Oven,Solo,Philips,3,8050.0,31.5,Value for Money,Standard
IND-2026-015,Microwave Oven,Solo,Samsung,4,8320.0,21.0,Value for Money,Standard
IND-2026-016,Mixer Grinder,Juicer Mixer (JMG),Bosch,5,6200.0,8.2,Energy Saver,One-time Premium
IND-2026-017,Mixer Grinder,Standard 3-Jar,Pureit,4,4690.0,10.5,Value for Money,Standard
IND-2026-018,Water Purifier,UV + UF,Havells,5,11590.0,13.5,Energy Saver,One-time Premium
IND-2026-019,Washing Machine,Semi-Automatic,LG,5,17130.0,21.0,Energy Saver,One-time Premium
IND-2026-020,Washing Machine,Semi-Automatic,Samsung,3,13520.0,63.0,Value for Money,Standard
